University,University-Country,Exchange-Course-Code,Exchange-Course-Title,HKU-Course-Code,HKU-Course-Title
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Panorama of English History,HISTxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Performing Public Space,SOCIxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Populism: the political trajectory of a controversial concept,POLIxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Psychological Dimensions of IR and Foreign Policy (The),POLIxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,The Chinese Economy,CCCH9007,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,The Decision-Making Process of the European Union: An Insider’s View,EUST3010,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,"The Dreams of Planning : Bringing Utopia to Order in Modern, Urban Europe",EUSTxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,The Economics of the EU,EUSTxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,The EU as a Global Actor,POLIxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,The Impact of Fake News on Democratic Discourse,SOCI2085,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,"The Sacred and the Profane: Anthropological Perspectives on Power, Ecstasy, and Violence",PHILxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Transatlantic Relations in a Changing Strategic Environment: Crises and Challenges,EUSTxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,"Urban Sociology: Structural Contexts, Social Dynamics and Lifestyles",SOCIxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,War on Screens,HISTxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Western Balkans and the European Union,EUSTxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,“France is a Woman”: French History and Culture Through the Lens of French Women,HISTxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,“French Level B1.2” + “Workshop French B1.2”,FRENxxxx,-
Université Jean Moulin Lyon 3,France,-,Anglais Littératures et cultures,ENGLxxxx,-
Université Jean Moulin Lyon 3,France,-,Anglais Littératures et cultures,EUSTxxxx,-
Université Jean Moulin Lyon 3,France,-,Anglais traduction,FRENxxxx,-
Université Jean Moulin Lyon 3,France,-,Chinois Thème,FRENxxxx,-
Université Jean Moulin Lyon 3,France,-,Français Langue Étrangère,FRENxxxx,-
Université Jean Moulin Lyon 3,France,-,French as a Foreign Language,FRENxxxx,-
Université Jean Moulin Lyon 3,France,-,Histoire moderne,HISTxxxx,-
Université Jean Moulin Lyon 3,France,-,Initiation à la Culture Française,FRENxxxx,-
